Min Samples,Epsilon,No. of Before Clusters,No. of Before Noise Points,No. of After Clusters,No. of After Noise Points
160,0.18040817301175463,4,14204,3,11331
160,0.18140817301175463,4,14000,3,11255
160,0.18240817301175463,4,13841,3,11195
160,0.18340817301175463,4,13673,3,11124
160,0.18440817301175463,4,13518,3,11071
160,0.18540817301175463,4,13346,3,11003
170,0.1780435090972942,5,15214,3,11729
170,0.1790435090972942,5,14956,3,11644
170,0.1800435090972942,4,14776,3,11558
170,0.1810435090972942,4,14616,3,11468
170,0.1820435090972942,4,14451,3,11419
170,0.1830435090972942,4,14270,3,11337
170,0.1840435090972942,4,14136,3,11282
170,0.1850435090972942,4,13976,3,11193
170,0.1860435090972942,4,13770,3,11142
170,0.1870435090972942,4,13611,3,11072
170,0.1880435090972942,4,13437,3,11010
170,0.1890435090972942,4,13278,3,10939
180,0.18160578916681872,5,15011,3,11642
180,0.18260578916681872,5,14860,3,11565
180,0.18360578916681872,4,14729,3,11489
180,0.18460578916681872,4,14560,3,11417
180,0.18560578916681872,4,14362,3,11353
180,0.18660578916681872,4,14221,3,11268
180,0.18760578916681872,4,14056,3,11210
180,0.18860578916681872,4,13889,3,11143
180,0.18960578916681872,4,13732,3,11061
180,0.19060578916681872,4,13578,3,10998
180,0.19160578916681872,4,13403,3,10946
180,0.19260578916681872,4,13264,3,10899
190,0.18496730850619095,4,15058,3,11559
190,0.18596730850619095,4,14894,3,11494
190,0.18696730850619095,4,14690,3,11413
190,0.18796730850619095,4,14511,3,11352
190,0.18896730850619095,4,14324,3,11288
190,0.18996730850619095,4,14163,3,11225
190,0.19096730850619095,4,13990,3,11165
190,0.19196730850619095,4,13824,3,11096
190,0.19296730850619095,4,13637,3,11053
190,0.19396730850619096,4,13507,3,10984
190,0.19496730850619096,4,13358,3,10896
190,0.19596730850619096,4,13240,3,10843
200,0.18826649577515564,3,15177,3,11479
200,0.18926649577515564,3,15049,3,11422
200,0.19026649577515564,3,14855,3,11373
200,0.19126649577515564,3,14662,3,11323
200,0.19226649577515564,3,14452,3,11232
200,0.19326649577515564,3,14340,3,11168
200,0.19426649577515565,4,13932,3,11129
200,0.19526649577515565,4,13733,3,11049
200,0.19626649577515565,4,13595,3,10994
200,0.19726649577515565,4,13420,3,10940
200,0.19826649577515565,4,13298,3,10857
200,0.19926649577515565,4,13158,3,10781
210,0.19149341356023664,3,15219,3,11460
210,0.19249341356023664,3,14916,3,11367
210,0.19349341356023664,3,14759,3,11308
210,0.19449341356023664,3,14596,3,11253
210,0.19549341356023664,3,14467,3,11185
210,0.19649341356023664,3,14264,3,11111
210,0.19749341356023664,3,14117,3,11061
210,0.19849341356023664,3,13919,3,11001
210,0.19949341356023664,3,13761,3,10923
210,0.20049341356023664,3,13617,3,10862
210,0.20149341356023664,4,13216,3,10801
210,0.20249341356023665,4,13096,3,10733
220,0.1945111502906821,3,15106,3,11414
220,0.1955111502906821,3,14842,3,11332
220,0.1965111502906821,3,14708,3,11282
220,0.1975111502906821,3,14535,3,11226
220,0.19851115029068211,3,14408,3,11137
220,0.19951115029068212,3,14157,3,11073
220,0.20051115029068212,3,14058,3,11017
220,0.20151115029068212,3,13885,3,10957
220,0.20251115029068212,3,13677,3,10897
220,0.20351115029068212,3,13523,3,10825
220,0.20451115029068212,3,13350,3,10757
220,0.20551115029068212,3,13232,3,10713
230,0.19760079943341602,3,15027,3,11362
230,0.19860079943341602,3,14742,3,11276
230,0.19960079943341602,3,14614,3,11232
230,0.20060079943341602,3,14476,3,11130
230,0.20160079943341602,3,14309,3,11074
230,0.20260079943341602,3,14203,3,11019
230,0.20360079943341602,3,13964,3,10973
230,0.20460079943341603,3,13834,3,10896
230,0.20560079943341603,3,13583,3,10842
230,0.20660079943341603,3,13398,3,10786
230,0.20760079943341603,3,13250,3,10707
230,0.20860079943341603,3,13132,3,10654
240,0.20053493336815137,3,14921,3,11342
240,0.20153493336815137,3,14780,3,11269
240,0.20253493336815137,3,14525,3,11193
240,0.20353493336815137,3,14402,3,11118
240,0.20453493336815137,3,14230,3,11032
240,0.20553493336815137,3,14092,3,10979
240,0.20653493336815137,3,13936,3,10931
240,0.20753493336815138,3,13757,3,10870
240,0.20853493336815138,3,13563,3,10815
240,0.20953493336815138,3,13366,3,10755
240,0.21053493336815138,3,13233,3,10668
240,0.21153493336815138,3,13090,3,10595
250,0.20337250801453946,3,14834,3,11264
250,0.20437250801453946,3,14663,3,11210
250,0.20537250801453946,3,14488,3,11146
250,0.20637250801453946,3,14394,3,11075
250,0.20737250801453946,3,14263,3,11007
250,0.20837250801453946,3,14031,3,10939
250,0.20937250801453947,3,13889,3,10895
250,0.21037250801453947,3,13662,3,10835
250,0.21137250801453947,3,13508,3,10785
250,0.21237250801453947,3,13360,3,10715
250,0.21337250801453947,3,13194,3,10614
250,0.21437250801453947,3,13068,3,10548
260,0.2061705585059066,3,14716,3,11224
260,0.2071705585059066,3,14557,3,11146
260,0.2081705585059066,3,14439,3,11092
260,0.2091705585059066,3,14278,3,11032
260,0.2101705585059066,3,14170,3,10951
260,0.2111705585059066,3,13885,3,10904
260,0.2121705585059066,3,13738,3,10840
260,0.2131705585059066,3,13592,3,10782
260,0.2141705585059066,3,13476,3,10738
260,0.2151705585059066,3,13309,3,10654
260,0.2161705585059066,3,13128,3,10565
260,0.2171705585059066,3,13015,3,10506
270,0.20892248413616452,3,14621,3,11145
270,0.20992248413616452,3,14463,3,11093
270,0.21092248413616452,3,14340,3,11042
270,0.21192248413616452,3,14211,3,10981
270,0.21292248413616452,3,14066,3,10918
270,0.21392248413616452,3,13885,3,10867
270,0.21492248413616452,3,13729,3,10806
270,0.21592248413616452,3,13615,3,10724
270,0.21692248413616452,3,13404,3,10666
270,0.21792248413616452,3,13236,3,10597
270,0.21892248413616452,3,13100,3,10510
270,0.21992248413616453,3,12961,3,10454
280,0.21162685057925024,3,14537,3,11108
280,0.21262685057925024,3,14398,3,11044
280,0.21362685057925024,3,14237,3,10985
280,0.21462685057925024,3,14104,3,10934
280,0.21562685057925024,3,13930,3,10874
280,0.21662685057925024,3,13788,3,10829
280,0.21762685057925024,3,13679,3,10755
280,0.21862685057925024,3,13539,3,10675
280,0.21962685057925024,3,13421,3,10598
280,0.22062685057925024,3,13289,3,10533
280,0.22162685057925025,3,13053,3,10484
280,0.22262685057925025,3,12884,3,10413
290,0.21426447890527964,3,14449,3,11090
290,0.21526447890527964,3,14299,3,11003
290,0.21626447890527964,3,14148,3,10932
290,0.21726447890527964,3,14034,3,10878
290,0.21826447890527964,3,13866,3,10830
290,0.21926447890527964,3,13772,3,10758
290,0.22026447890527964,3,13634,3,10718
290,0.22126447890527964,3,13456,3,10627
290,0.22226447890527964,3,13320,3,10549
290,0.22326447890527965,3,13175,3,10488
290,0.22426447890527965,3,13043,3,10436
290,0.22526447890527965,3,12890,3,10392
300,0.21681702476614076,3,14350,3,11049
300,0.21781702476614076,3,14201,3,10972
300,0.21881702476614076,3,14086,3,10871
300,0.21981702476614076,3,13910,3,10833
300,0.22081702476614076,3,13811,3,10780
300,0.22181702476614076,3,13677,3,10725
300,0.22281702476614076,3,13566,3,10654
300,0.22381702476614077,3,13443,3,10584
300,0.22481702476614077,3,13276,3,10521
300,0.22581702476614077,3,13084,3,10450
300,0.22681702476614077,3,12962,3,10392
300,0.22781702476614077,3,12790,3,10347
